when,label,system,k,game,stint,scale_off,scale_def,seconds,wall,seasons,loss_frac,time_frac,true_loss,game_unmapped
2026-09-05 10:01:00,old board def3_p0 (K=3),def3_p0,3,112.7404105334638,3626.635553913259,0.950507320771307,1.088052087664221,117.01625323295592,34.774495124816895,28,1.0129828565240067,0.8722399005382748,0.8835640660214771,
2026-09-05 18:58:00,multi-stage mspi unmapped,mspi,3,112.2061486904837,3627.585840374298,1.2118599578673968,1.034162851037402,134.9891538619995,39.28174662590027,28,1.008182465206706,1.0062100168592285,1.0144432953128182,
2026-09-05 20:32:00,baseline: mspi_linear+sat as shipped,mspi_linear+sat,3,111.29547731965192,3627.863299471417,1.205367511920458,0.9826840764450816,134.15604257583618,39.108911752700806,28,1.0,1.0,1.0,
2026-09-06 00:13:13,"one-pass fit: shared design, exposure, prior (same numbers)",mspi1,3,111.29547731965192,3627.863299471417,1.205367511920458,0.9826840764450816,79.0175302028656,22.951072216033936,28,1.0,0.5889971758685286,0.5889971758685286,112.2061486904837
2026-09-06 00:14:39,mspi1_ll0cf0,mspi1_ll0cf0,3,111.29801561954692,3627.9307649144207,1.2045116438706092,0.9820174936714624,74.17972922325134,21.61730194091797,28,1.0000228068557333,0.5529361764030776,0.5529487871386826,112.22820478858418
2026-09-06 00:15:10,mspi1_ll0,mspi1_ll0,3,111.33274886734505,3627.962052569972,1.2048912911236855,0.9825783054438744,79.51582908630371,23.04486298561096,28,1.0003348882505447,0.5927114989349417,0.5929099910518978,112.26404254317806
2026-09-06 00:15:41,mspi1_cf0,mspi1_cf0,3,111.29702431685558,3627.885331211138,1.2064482585729377,0.9821019951980526,76.54491639137268,22.223062992095947,28,1.0000138999107684,0.5705662966921755,0.570574227512787,112.21875988031336
2026-09-06 00:16:11,mspi1_x3both,mspi1_x3both,3,111.38396879963076,3627.8647148614377,1.206280473178366,0.9827300839241468,78.62267351150513,22.693040132522583,28,1.000795104007009,0.5860539115639241,0.5865198853773319,112.3323197853676
2026-09-06 00:16:42,mspi1_lam05,mspi1_lam05,3,111.14044259371737,3627.559246589383,1.2036202465353951,0.9619563457136896,78.8084704875946,22.7486035823822,28,0.9986069988676244,0.5874388434128525,0.586620540438777,112.38918899648496
2026-09-06 00:17:12,mspi1_lam07,mspi1_lam07,3,111.18451964831752,3627.644259661307,1.2060743567403895,0.9730465904977824,79.00916528701782,22.773820877075195,28,0.9990030352175433,0.5889348237322612,0.5883476764538378,112.20115018821645
2026-09-06 00:17:43,mspi1_lam14,mspi1_lam14,3,111.46483815416464,3628.1944803814695,1.2016997375686551,0.9887320830645157,78.83436727523804,23.000614881515503,28,1.0015217225227069,0.587631878233694,0.5885260908978628,112.39850639792046
2026-09-06 00:18:14,mspi1_lam2,mspi1_lam2,3,111.71478547074386,3628.678683431516,1.195237516388833,0.9909356487013676,79.32425355911255,22.88191819190979,28,1.0037675219262292,0.5912834937291167,0.5935111672563586,112.78248338362852
2026-09-06 00:21:06,shared factorization mspi1,mspi1,3,111.29547731965192,3627.863299471417,1.205367511920458,0.9826840764450816,71.81838011741638,20.87811541557312,28,1.0,0.5353346650548271,0.5353346650548271,112.2061486904837
2026-09-06 00:21:36,shared factorization mspi1_lam035,mspi1_lam035,3,111.151722138492,3627.5925448924586,1.197981092294837,0.9491406526242446,70.44591403007507,20.43531513214112,28,0.9987083466047139,0.5251042940555821,0.5244260413112859,112.78614680714853
2026-09-06 00:22:04,shared factorization mspi1_lam025,mspi1_lam025,3,111.20966382216304,3627.7312608707207,1.1903415328476776,0.9368333313501988,71.81489825248718,20.94032907485962,28,0.9992289579095616,0.5353087112113598,0.5348959656636375,113.33049943098204
2026-09-06 00:22:33,shared factorization mspi1_lam015,mspi1_lam015,3,111.36582554147861,3628.1082158248887,1.1760345984653753,0.9188779813930563,71.40725374221802,20.800895929336548,28,1.000632085180107,0.5322701264227638,0.5326065664814893,114.41361273114185
